SID,station_id,eyewall_review,exposure_review,instrument_review,final_grade,scoreable,evidence_label,review_method,review_reason,NAME,station_name,station_lat,station_lon,distance_to_landfall_km,observed_wind_ms,averaging_window_minutes,nearest_item_time_local,nearest_item_time_utc,nearest_item_offset_hours,nearest_item_file,source_url,raw_sha256
2015211N13162,467060,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the inner eyewall at the hourly native-10-minute maximum; elevation 24.9 m,SOUDELOR,蘇澳,24.6,121.86,83.58066389119227,36.1,10.0,2015-08-08T05:00:00+08:00,2015-08-07T21:00:00+00:00,-0.7748664766666666,Radar_2MOS0_CV.201508080500.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2015%2FSOUDELOR%2FOBS%2FRadar%2FRadar_2MOS0_CV.201508080500.jpg,26b717d343d8c37b7cd9df06267209f29a37649de3c47c687aed0d1dfc427482
2015263N14148,467060,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the inner eyewall at the hourly native-10-minute maximum; elevation 24.9 m,DUJUAN,蘇澳,24.6,121.86,55.6836786158342,40.4,10.0,2015-09-28T18:00:00+08:00,2015-09-28T10:00:00+00:00,-0.1873703972222222,Radar_2MOS0_CV.201509281800.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2015%2FDUJUAN%2FOBS%2FRadar%2FRadar_2MOS0_CV.201509281800.jpg,c91b388f4cde1440426a38f33a66b7e3a2330d7ab406c519d640d80c8414203a
2016185N08145,467620,yes,high_elevation_fixed_point_operator_mismatch,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Eye-wall co-location is clear while the 324.0 m station exposure is not comparable enough to 10 m marine Vmax,NEPARTAK,蘭嶼,22.04,121.56,83.25992109832993,46.3,10.0,2016-07-08T03:00:00+08:00,2016-07-07T19:00:00+00:00,-3.0717601491666664,Radar_2MOS0_CV.201607080300.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2016%2FNEPARTAK%2FOBS%2FRadar%2FRadar_2MOS0_CV.201607080300.jpg,dde8bb1e8ddd7ed0625ecc092d330ae26603f529647fb173fe5563932180a69c
2016265N10150,467300,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station is 219 km from the frozen crossing and the marker is outside a defensible inner-eye-wall maximum,MEGI,東吉島,23.26,119.67,218.51378073966293,35.9,10.0,2016-09-27T19:00:00+08:00,2016-09-27T11:00:00+00:00,5.047911208611111,Radar_2MOS0_CV.201609271900.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2016%2FMEGI%2FOBS%2FRadar%2FRadar_2MOS0_CV.201609271900.jpg,ff788d5be5aa7fe6157ab9984e94f4303eff5584264db4b17cf9b115e87998bc
2017206N13129,467080,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the eye-wall reflectivity ring; elevation 7.2 m,NESAT,宜蘭,24.76,121.76,27.151050070902564,29.7,10.0,2017-07-29T20:00:00+08:00,2017-07-29T12:00:00+00:00,0.34697590472222223,Radar_2MOS0_CV.201707292000.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2017%2FNESAT%2FOBS%2FRadar%2FRadar_2MOS0_CV.201707292000.jpg,7955ad653ded6f0673c9e6bb17fdebe00290f0c6ef46e53df5fd00e884900a78
2017209N19118,467620,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker is outside a defensible inner-eye-wall maximum and station elevation is 324.0 m,HAITANG,蘭嶼,22.04,121.56,127.0666847150676,26.8,10.0,2017-07-30T17:00:00+08:00,2017-07-30T09:00:00+00:00,-0.5931118322222222,Radar_2MOS0_CV.201707301700.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2017%2FHAITANG%2FOBS%2FRadar%2FRadar_2MOS0_CV.201707301700.jpg,bc76c357044f674377fa81d3ed589f403415b5106d4c3d0c166c786c055afb12
2023239N18144,467610,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the eye-wall reflectivity ring close to the frozen crossing; elevation 33.5 m,HAIKUI,成功,23.1,121.37,28.302155759328482,27.0,10.0,2023-09-03T15:00:00+08:00,2023-09-03T07:00:00+00:00,-0.23647323555555555,Radar_2MOS0_CV.202309031500.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2023%2FHAIKUI%2FOBS%2FRadar%2FRadar_2MOS0_CV.202309031500.jpg,12991d2fc6b9793371e7479f09f25c0c6a6fcfb7625b59158f4c9fca6cc7e2ae
2023271N14144,467300,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Selected official station is 185 km from the frozen crossing and outside the eye wall; Lan-yu's documented eye-wall maximum falls outside the frozen +/-6 h gate,KOINU,東吉島,23.26,119.67,185.28466600079838,28.6,10.0,2023-10-05T09:00:00+08:00,2023-10-05T01:00:00+00:00,1.4920958475,Radar_2MOS0_CV.202310050900.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2023%2FKOINU%2FOBS%2FRadar%2FRadar_2MOS0_CV.202310050900.jpg,db5ad5c9f7dc3ff3bac25f931607e474ca706bb316c1edb7ebbd077c58f86552
2024201N12133,466950,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station is 193 km from the frozen crossing and lies in an outer rainband,GAEMI,彭佳嶼,25.63,122.08,193.40574608098748,29.9,10.0,2024-07-25T02:00:00+08:00,2024-07-24T18:00:00+00:00,4.119626045277778,Radar_2MOS0_CV.202407250200.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2024%2FGAEMI%2FOBS%2FRadar%2FRadar_2MOS0_CV.202407250200.jpg,91bc829b74694ea3eb23679ab0d3d28e91e1e506a269c6d258b4341438680b3a
2024270N24128,467550,no,high_mountain_operator_mismatch,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Yu-shan elevation is 3844.8 m and the station lies outside a defensible surface maximum-wind operator,KRATHON,玉山,23.49,120.96,122.15040260827094,24.4,10.0,2024-10-03T10:00:00+08:00,2024-10-03T02:00:00+00:00,-2.837796360833333,Radar_2MOS0_CV.202410031000.jpg,https://rdc28.cwa.gov.tw/TDB/public/typhoon_detail/get_image?image=2024%2FKRATHON%2FOBS%2FRadar%2FRadar_2MOS0_CV.202410031000.jpg,61351476945dbb76c46c5711fe6e673bd395ce224d019d4fa856284bd604e8cf
