SID,station_id,eyewall_review,exposure_review,instrument_review,final_grade,scoreable,evidence_label,review_method,review_reason
2015211N13162,467060,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the inner eyewall at the hourly native-10-minute maximum; elevation 24.9 m
2015263N14148,467060,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the inner eyewall at the hourly native-10-minute maximum; elevation 24.9 m
2016185N08145,467620,yes,high_elevation_fixed_point_operator_mismatch,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Eye-wall co-location is clear while the 324.0 m station exposure is not comparable enough to 10 m marine Vmax
2016265N10150,467300,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station is 219 km from the frozen crossing and the marker is outside a defensible inner-eye-wall maximum
2017206N13129,467080,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the eye-wall reflectivity ring; elevation 7.2 m
2017209N19118,467620,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker is outside a defensible inner-eye-wall maximum and station elevation is 324.0 m
2023239N18144,467610,yes,comparable_low_elevation_standard_station,source_qc_pass_no_saturation_or_missing_flag,A,True,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station marker lies in the eye-wall reflectivity ring close to the frozen crossing; elevation 33.5 m
2023271N14144,467300,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Selected official station is 185 km from the frozen crossing and outside the eye wall; Lan-yu's documented eye-wall maximum falls outside the frozen +/-6 h gate
2024201N12133,466950,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station is 193 km from the frozen crossing and lies in an outer rainband
2024270N24128,467550,no,high_mountain_operator_mismatch,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Yu-shan elevation is 3844.8 m and the station lies outside a defensible surface maximum-wind operator
2024298N13150,467300,no,outside_maximum_wind_region,source_qc_pass_no_saturation_or_missing_flag,B,False,[推测],single_reviewer_station_overlay_on_official_composite_reflectivity,Station is 172 km from the frozen crossing and outside the inner eye-wall maximum
